reactor_id|plant|unit|field|verdict|confidence|visible|corrected_value|source
1|Atucha|1|architect_engineer|CONFIRMED|MED|yes||en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant (single-vendor KWU turnkey; no separate AE firm named in source)
1|Atucha|1|constructor|CONFIRMED|HIGH|yes||en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant (Siemens-supplied PHWR KWU design)
1|Atucha|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||no source found naming vessel fabricator
1|Atucha|1|turbine_supplier|UNVERIFIABLE|LOW|no||no source found naming turbine supplier
2|Atucha|2|architect_engineer|CONFIRMED|MED|yes||en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant (single-vendor KWU turnkey; no separate AE firm named)
2|Atucha|2|constructor|CONFIRMED|HIGH|yes||en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant (Siemens-supplied PHWR KWU design)
2|Atucha|2|rpv_manufacturer|UNVERIFIABLE|LOW|no||no source found (source notes Atucha II had the largest RPV worldwide at the time, but doesn't name fabricator)
2|Atucha|2|turbine_supplier|UNVERIFIABLE|LOW|no||no source found
3|Carem25|1|architect_engineer|CONFIRMED|MED|yes||en.wikipedia.org/wiki/CAREM (same reasoning as constructor)
3|Carem25|1|constructor|CONFIRMED|MED|yes||en.wikipedia.org/wiki/CAREM ("integrally designed by CNEA"; CNEA is Argentina's national atomic commission, not a construction firm per se, but is the confirmed responsible entity)
3|Carem25|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||no source found naming vessel fabricator; CNEA-as-manufacturer is unconfirmed
3|Carem25|1|turbine_supplier|UNVERIFIABLE|LOW|no||CNEA is a design/regulatory body; no source found naming an actual turbine manufacturer
4|Embalse|1|architect_engineer|CONFIRMED|HIGH|yes||en.wikipedia.org/wiki/Embalse_Nuclear_Power_Station (same)
4|Embalse|1|constructor|CONFIRMED|HIGH|yes||en.wikipedia.org/wiki/Embalse_Nuclear_Power_Station ("AECL originally contracted to act as the turn-key supplier of the nuclear portion")
4|Embalse|1|rpv_manufacturer|UNVERIFIABLE|LOW|no||source does not name vessel fabricator
4|Embalse|1|turbine_supplier|WRONG|MED|no|Italimpianti|en.wikipedia.org/wiki/Embalse_Nuclear_Power_Station ("Italimpianti acting as the turn-key supplier of the conventional portion" — conventional island includes turbine plant, not GE Canada)
5|Armenian|1|architect_engineer|WRONG|MED|no|Gorky branch of Atomteploelectroproekt (ATEP) Institute|ru.wikipedia.org/wiki/Армянская_АЭС ("Генеральным проектировщиком АЭС было назначено Горьковское отделение института «Атомтеплоэлектропроект»")
5|Armenian|1|constructor|UNVERIFIABLE|LOW|no||ru.wikipedia.org/wiki/Армянская_АЭС — names multiple design institutes and ~100 equipment-supplying enterprises but no single "Atomenergoexport" constructor role
