design_series|field
AGR|average_burnup_mwd_per_t
AGR|core_height_m
AGR|fuel_assembly_type
AGR|inlet_temperature_c
AM-1|core_diameter_m
AM-1|core_height_m
AM-1|fuel_type
AM-1|number_of_fuel_assemblies
AM-1|number_of_turbines
AM-1|operating_pressure_bar
AM-1|outlet_temperature_c
AMB-100|fuel_type
AMB-100|number_of_turbines
AMB-100|turbine_speed_rpm
AMB-200|fuel_type
AMB-200|moderator
AMB-200|thermal_power_mwth
AMB-200|turbine_speed_rpm
APR1400|core_diameter_m
APR1400|low_pressure_sections
APR1400|number_of_turbines
APR1400|turbine_speed_rpm
AVR|core_diameter_m
AVR|core_height_m
AVR|enrichment_pct
AVR|inlet_temperature_c
AVR|number_of_control_elements
AVR|number_of_coolant_loops
AVR|number_of_steam_generators
AVR|number_of_turbines
AVR|operating_pressure_bar
AVR|turbine_speed_rpm
BLWR-250|number_of_turbines
BN-20|fuel_type
BN-20|thermal_power_mwth
BN-350|fuel_type
BN-350|inlet_temperature_c
BN-350|number_of_steam_generators
BN-350|number_of_turbines
BN-350|outlet_temperature_c
BN-350|thermal_power_mwth
BN-350|turbine_speed_rpm
BN-600|live_steam_pressure_bar
BN-800|core_diameter_m
BN-800|core_height_m
BN-800|number_of_turbines
BN-800|outlet_temperature_c
BR-3|average_burnup_mwd_per_t
BR-3|enrichment_pct
BR-3|fuel_type
BR-3|inlet_temperature_c
BR-3|number_of_coolant_loops
BR-3|number_of_fuel_assemblies
BR-3|number_of_steam_generators
BR-3|number_of_turbines
BR-3|operating_pressure_bar
BR-3|outlet_temperature_c
BR-3|thermal_power_mwth
BR-3|turbine_speed_rpm
BWR/5|number_of_control_elements
BWR/5|number_of_fuel_assemblies
CANDU 500|average_burnup_mwd_per_t
CANDU 500|core_diameter_m
CANDU 500|fuel_assembly_type
CANDU 500|inlet_temperature_c
CANDU 500|live_steam_pressure_bar
CANDU 500|low_pressure_sections
CANDU 500|number_of_coolant_loops
CANDU 500|number_of_fuel_assemblies
CANDU 500|number_of_steam_generators
CANDU 500|number_of_turbines
CANDU 500|operating_pressure_bar
CANDU 500|outlet_temperature_c
CANDU 500|turbine_speed_rpm
CANDU 750|average_burnup_mwd_per_t
CANDU 750|inlet_temperature_c
CANDU 750|low_pressure_sections
CANDU 750|number_of_fuel_assemblies
CANDU 750|number_of_steam_generators
CANDU 750|number_of_turbines
CANDU 750|thermal_power_mwth
CANDU 750|turbine_speed_rpm
CANDU 850|average_burnup_mwd_per_t
CANDU 850|inlet_temperature_c
CANDU 850|live_steam_pressure_bar
CANDU 850|low_pressure_sections
CANDU 850|number_of_coolant_loops
CANDU 850|number_of_fuel_assemblies
CANDU 850|number_of_steam_generators
CANDU 850|number_of_turbines
CANDU 850|turbine_speed_rpm
CAP1400|core_diameter_m
CE Pre-System 80|fuel_type
CE System 80|fuel_assembly_type
CFR-600|fuel_assembly_type
CFR-600|inlet_temperature_c
CFR-600|number_of_coolant_loops
CFR-600|number_of_steam_generators
CFR-600|number_of_turbines
CFR-600|outlet_temperature_c
CFR-600|turbine_speed_rpm
CP0|fuel_assembly_type
CP0|fuel_type
CP2|fuel_assembly_type
DFR|number_of_turbines
DFR|outlet_temperature_c
EGP-6|core_diameter_m
EGP-6|core_height_m
EGP-6|enrichment_pct
EGP-6|fuel_type
