design_series|field|verdict|corrected_value|confidence|source
ABWR|coolant|CONFIRMED||MED|Wikipedia "Advanced boiling water reactor" (BWR uses light water as coolant)
ABWR|fuel_type|UNVERIFIABLE||LOW|Wikipedia "Advanced boiling water reactor" — fuel type (UO2/MOX) not stated in retrieved article
ABWR|moderator|CONFIRMED||MED|Wikipedia "Advanced boiling water reactor" (BWR uses light water as moderator)
ABWR|number_of_control_elements|CONFIRMED||MED|Wikipedia "Advanced boiling water reactor" — 205 control rod drives
ABWR|number_of_fuel_assemblies|CONFIRMED||MED|Wikipedia "Advanced boiling water reactor" — 872 fuel bundles
ABWR|thermal_power_mwth|CONFIRMED||MED|Wikipedia "Advanced boiling water reactor" — about 3926 MW thermal
BR-3|average_burnup_mwd_per_t|UNVERIFIABLE||LOW|No burnup figure found in retrieved sources for BR-3
BR-3|coolant|CONFIRMED||MED|Wikipedia "Belgian Nuclear Research Centre" — BR3 is a pressurized water reactor (light water coolant)
BR-3|enrichment_pct|UNVERIFIABLE||LOW|No enrichment figure found in retrieved sources for BR-3
BR-3|fuel_type|UNVERIFIABLE||LOW|Retrieved SCK CEN article confirms PWR but does not state fuel type; BR-3 tested varied fuels (UO2/MOX)
BR-3|inlet_temperature_c|UNVERIFIABLE||LOW|No temperature data found in retrieved sources for BR-3
BR-3|moderator|CONFIRMED||MED|Wikipedia "Belgian Nuclear Research Centre" — BR3 is a PWR (light water moderator)
BR-3|number_of_coolant_loops|UNVERIFIABLE||LOW|No loop count found in retrieved sources for BR-3
BR-3|number_of_fuel_assemblies|UNVERIFIABLE||LOW|No assembly count found in retrieved sources for BR-3
BR-3|number_of_steam_generators|UNVERIFIABLE||LOW|No SG count found in retrieved sources for BR-3
BR-3|number_of_turbines|UNVERIFIABLE||LOW|No turbine count found in retrieved sources for BR-3
BR-3|operating_pressure_bar|UNVERIFIABLE||LOW|No pressure figure found in retrieved sources for BR-3
BR-3|outlet_temperature_c|UNVERIFIABLE||LOW|No temperature data found in retrieved sources for BR-3
BR-3|thermal_power_mwth|UNVERIFIABLE||LOW|No thermal power figure found in retrieved sources for BR-3
BR-3|turbine_speed_rpm|UNVERIFIABLE||LOW|No turbine speed found in retrieved sources for BR-3
CANDU|average_burnup_mwd_per_t|UNVERIFIABLE||LOW|CANDU/CANDU-fuel Wikipedia articles retrieved but neither states a numeric average burnup
CANDU|coolant|CONFIRMED||MED|Wikipedia "CANDU reactor" — heavy water (D2O) coolant
CANDU|enrichment_pct|CONFIRMED||MED|Wikipedia "CANDU reactor" — traditional CANDU uses natural uranium
CANDU|fuel_type|CONFIRMED||MED|Wikipedia "CANDU reactor" — natural uranium UO2 ceramic pellets
CANDU|moderator|CONFIRMED||MED|Wikipedia "CANDU reactor" — heavy water (D2O) moderator
CANDU|operating_pressure_bar|CONFIRMED||MED|Wikipedia "CANDU reactor" — outlet pressures ~9.89-11.9 MPa (CANDU 6 10.3 MPa); 100 bar consistent
CAP1400|average_burnup_mwd_per_t|CONFIRMED||MED|Wikipedia "CAP1400" — averaged discharge burnup >=50,000 MWd/tU; 52,000 consistent
CAP1400|coolant|CONFIRMED||MED|Wikipedia "CAP1400" — light water coolant
CAP1400|core_diameter_m|UNVERIFIABLE||LOW|Core diameter not stated in retrieved CAP1400 article
CAP1400|core_height_m|UNVERIFIABLE||LOW|Core height not stated in retrieved CAP1400 article
CAP1400|enrichment_pct|UNVERIFIABLE||LOW|Enrichment range not stated in retrieved CAP1400 article
CAP1400|fuel_assembly_type|UNVERIFIABLE||LOW|Wikipedia "CAP1400" explicitly does not state assembly lattice (17x17)
CAP1400|fuel_type|CONFIRMED||MED|Wikipedia "CAP1400" — low-enriched uranium dioxide (UO2)
CAP1400|moderator|CONFIRMED||MED|Wikipedia "CAP1400" — light water moderator
CAP1400|number_of_coolant_loops|CONFIRMED||MED|Wikipedia "CAP1400" — two primary coolant loops
CAP1400|number_of_fuel_assemblies|CONFIRMED||MED|Wikipedia "CAP1400" — 193 fuel assemblies
CAP1400|number_of_steam_generators|CONFIRMED||MED|Wikipedia "CAP1400" — two loops, one steam generator each (2 SG)
