design_series|field|verdict|corrected_value|confidence|source|batch
BWR/1|fuel_type|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/1|moderator|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/1|coolant|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/1|number_of_coolant_loops|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session|specs_01.psv
BWR/1|operating_pressure_bar|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session|specs_01.psv
BWR/1|enrichment_pct|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session|specs_01.psv
BWR/1|outlet_temperature_c|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session|specs_01.psv
BWR/1|number_of_turbines|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session|specs_01.psv
BWR/1|low_pressure_sections|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session|specs_01.psv
BWR/1|live_steam_pressure_bar|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session|specs_01.psv
BWR/2|thermal_power_mwth|UNVERIFIABLE||LOW|WebSearch on Oyster Creek/Nine Mile Point 1 (BWR/2 plants) returned differing as-operated values (1930 MWt Oyster Creek uprated, ~1850 MWt Nine Mile Pt 1) not on same basis as a generic BWR/2 line rating; no generic-line document found|specs_01.psv
BWR/2|fuel_type|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/2|moderator|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/2|coolant|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/2|number_of_coolant_loops|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/2|operating_pressure_bar|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/2|enrichment_pct|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/2|core_height_m|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/2|number_of_fuel_assemblies|UNVERIFIABLE||LOW|Oyster Creek search returned ~560 assemblies (as-operated, post-uprate), not directly comparable to a generic BWR/2 design value of 368; basis mismatch, not confirmed either way|specs_01.psv
BWR/2|number_of_control_elements|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/2|outlet_temperature_c|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/2|inlet_temperature_c|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/2|fuel_assembly_type|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/2|number_of_turbines|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/2|turbine_speed_rpm|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/2|low_pressure_sections|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/2|live_steam_pressure_bar|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session|specs_01.psv
BWR/3|thermal_power_mwth|UNVERIFIABLE||LOW|WebSearch confirms Dresden 2/3 and Quad Cities (BWR/3 plants) currently operate at 2957 MWt post-uprate, consistent with the DB note that 2527 MWt is the pre-uprate original license value, but no document giving the 2527 figure explicitly was retrieved|specs_01.psv
BWR/3|fuel_type|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/3|moderator|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/3|coolant|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/3|number_of_coolant_loops|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|operating_pressure_bar|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|enrichment_pct|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|core_height_m|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|number_of_fuel_assemblies|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|number_of_control_elements|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|outlet_temperature_c|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|inlet_temperature_c|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|fuel_assembly_type|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|number_of_turbines|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|turbine_speed_rpm|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|low_pressure_sections|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/3|live_steam_pressure_bar|UNVERIFIABLE||LOW|No BWR/3-specific primary document retrieved this session|specs_01.psv
BWR/4|thermal_power_mwth|CONFIRMED||HIGH|"NRC ""GE BWR/4 Technology - 1.8 Thermal Limits"" (ML11258A297); Susquehanna SSES-FSAR (ML18122A329) lists 764-assembly BWR/4 core at this rating"|specs_01.psv
BWR/4|fuel_type|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/4|moderator|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/4|coolant|CONFIRMED||HIGH|"IAEA ""Boiling water reactor"" emergency reference page; WNA ""Nuclear Power Reactors"""|specs_01.psv
BWR/4|number_of_coolant_loops|UNVERIFIABLE||LOW|No BWR/4-specific primary document retrieved this session|specs_01.psv
BWR/4|operating_pressure_bar|UNVERIFIABLE||LOW|No BWR/4-specific primary document retrieved this session|specs_01.psv
BWR/4|enrichment_pct|UNVERIFIABLE||LOW|No BWR/4-specific primary document retrieved this session|specs_01.psv
BWR/4|core_height_m|UNVERIFIABLE||LOW|No BWR/4-specific primary document retrieved this session|specs_01.psv
BWR/4|number_of_fuel_assemblies|CONFIRMED||HIGH|Susquehanna SSES-FSAR (NRC ML18122A329): BWR/4 core, 764 fuel assemblies|specs_01.psv
BWR/4|number_of_control_elements|CONFIRMED||HIGH|Susquehanna SSES-FSAR (NRC ML18122A329): 185 control rods|specs_01.psv
BWR/4|outlet_temperature_c|UNVERIFIABLE||LOW|No BWR/4-specific primary document retrieved this session|specs_01.psv
BWR/4|inlet_temperature_c|UNVERIFIABLE||LOW|No BWR/4-specific primary document retrieved this session|specs_01.psv
BWR/4|fuel_assembly_type|UNVERIFIABLE||LOW|No BWR/4-specific primary document retrieved this session|specs_01.psv
BWR/4|average_burnup_mwd_per_t|UNVERIFIABLE||LOW|No BWR/4-specific primary document retrieved this session|specs_01.psv
BWR/4|number_of_turbines|UNVERIFIABLE||LOW|No BWR/4-specific primary document retrieved this session|specs_01.psv
BWR/4|turbine_speed_rpm|UNVERIFIABLE||LOW|No BWR/4-specific primary document retrieved this session|specs_01.psv
