design_series|thermal_power_mwth|fuel_type|moderator|coolant|number_of_coolant_loops|operating_pressure_bar|enrichment_pct|core_height_m|core_diameter_m|number_of_fuel_assemblies|number_of_control_elements|outlet_temperature_c|inlet_temperature_c|number_of_steam_generators|fuel_assembly_type|average_burnup_mwd_per_t|source|number_of_turbines|turbine_speed_rpm|low_pressure_sections|live_steam_pressure_bar
BN-600|1470.0|UO2|None|Sodium|3|None|17-26|0.75|2.06|370|27|550.0|377.0|3|Hexagonal|70000.0|IAEA PRIS, Rosatom, Wikipedia; turbine speed corrected 2026-07 sweep (cited)|1|3000|4|130.0
BN-800|2100.0|MOX (UO2/PuO2)|None|Sodium|3|None|None|0.88|2.56|565|30|547.0|354.0|4|Hexagonal|66000.0|IAEA PRIS, Rosatom, Wikipedia; turbine speed corrected 2026-07 sweep (cited)|1|3000|4|130.0
CFR-600|1500.0|MOX (UO2/PuO2)|None|Sodium|2|None|None|None|None|None|None|550.0|395.0|4|Hexagonal|None|IAEA PRIS, CIAE, Wikipedia; turbine speed corrected 2026-07 sweep (superheated-cycle class)|1|3000|None|None
DFR|72.0|U-Mo alloy|None|NaK|24|None|None|None|None|None|None|350.0|None|None|None|None|IAEA PRIS, Wikipedia; turbine speed nulled 2026-07 sweep (mixed-grid or undocumented)|1|None|None|None
LMFBR|None|MOX (UO2/PuO2)|None|Sodium|None|None|None|None|None|None|None|None|None|None|None|None|IAEA PRIS; turbine speed nulled 2026-07 sweep (mixed-grid or undocumented)|1|None|None|None
Monju|714.0|MOX (UO2/PuO2)|None|Sodium|3|None|None|0.93|1.8|198|19|529.0|397.0|3|Hexagonal|80000.0|IAEA PRIS, JAEA, Wikipedia; turbine speed nulled 2026-07 sweep (mixed-grid or undocumented)|1|None|2|None
PFR|600.0|MOX (UO2/PuO2)|None|Sodium|3|None|None|None|None|None|None|560.0|400.0|3|Hexagonal|None|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (family inference)|1|3000|2|None
Phenix|563.0|MOX (UO2/PuO2)|None|Sodium|3|None|None|0.85|1.4|103|6|560.0|400.0|3|Hexagonal|100000.0|IAEA PRIS, CEA, Wikipedia; turbine speed corrected 2026-07 sweep (superheated-cycle class)|1|3000|2|None
SGR|None|UO2/PuO2|None|Sodium|None|None|None|None|None|None|None|None|None|None|None|None|IAEA PRIS; turbine speed nulled 2026-07 sweep (mixed-grid or undocumented)|1|None|None|None
Super-Phenix|3000.0|MOX (UO2/PuO2)|None|Sodium|4|None|None|1.0|3.66|364|21|545.0|395.0|4|Hexagonal|70000.0|IAEA PRIS, CEA, Wikipedia; turbine speed corrected 2026-07 sweep (superheated-cycle class)|1|3000|3|None
AVR|46.0|TRISO UO2/ThO2 pebbles|Graphite|Helium|2|11.0|93|2.8|3.0|None|4|950.0|270.0|2|Pebble (60mm diameter)|None|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (superheated-cycle class)|1|3000|None|None
Fort St. Vrain|842.0|TRISO UC2/ThC2|Graphite|Helium|2|48.0|93|4.75|5.94|1482|37|785.0|405.0|2|Hexagonal graphite block|100000.0|IAEA PRIS, NRC, Wikipedia; turbine speed corrected 2026-07 sweep (OSTI GA-A13602 / family)|1|3600|2|None
HTR-PM|250.0|TRISO UO2 pebbles|Graphite|Helium|1|70.0|8.5|11.0|3.0|None|None|750.0|250.0|1|Pebble (60mm diameter)|90000.0|IAEA PRIS, INET/Tsinghua, Wikipedia; turbine speed corrected 2026-07 sweep (superheated-cycle class)|1|3000|2|None
