design_series|thermal_power_mwth|fuel_type|moderator|coolant|number_of_coolant_loops|operating_pressure_bar|enrichment_pct|core_height_m|core_diameter_m|number_of_fuel_assemblies|number_of_control_elements|outlet_temperature_c|inlet_temperature_c|number_of_steam_generators|fuel_assembly_type|average_burnup_mwd_per_t|source|number_of_turbines|turbine_speed_rpm|low_pressure_sections|live_steam_pressure_bar
Peach Bottom HTGR|115.0|TRISO UC2/ThC2|Graphite|Helium|2|24.0|93|2.28|2.74|804|36|725.0|344.0|2|Compacts in graphite sleeve|None|IAEA PRIS, NRC, Wikipedia; turbine speed corrected 2026-07 sweep (OSTI GA-A13602 / family)|1|3600|None|None
THTR-300|750.0|TRISO UO2/ThO2 pebbles|Graphite|Helium|6|40.0|93|6.0|5.6|None|42|750.0|250.0|6|Pebble (60mm diameter)|None|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (superheated-cycle class)|1|3000|2|None
EL-4|250.0|UO2|Heavy water|CO2|None|60.0|1.4-1.6|None|None|None|None|500.0|235.0|None|None|None|IAEA PRIS, CEA, Wikipedia; turbine speed corrected 2026-07 sweep (superheated-cycle class)|1|3000|None|None
HWGCR|250.0|UO2|Heavy water|CO2|None|None|Natural|None|None|None|None|None|None|None|None|None|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (superheated-cycle class)|1|3000|None|None
KS 150|580.0|Natural UO2|Heavy water|CO2|None|65.0|Natural|None|None|None|None|450.0|None|None|None|None|IAEA PRIS, Wikipedia|1|None|None|None
ATR|557.0|UO2|Heavy water|Light water|None|68.0|2.0|None|None|224|None|284.0|None|None|28-element cluster|None|IAEA PRIS, JAEA, Wikipedia; turbine speed corrected 2026-07 sweep (Tsuruga 60 Hz zone)|1|1800|2|None
Agesta|68.0|Natural UO2|Heavy water|Heavy water|None|None|Natural|None|None|None|None|None|None|None|None|None|IAEA PRIS, Wikipedia|None|None|None|None
BR-3|40.0|UO2|Light water|Light water|1|144.0|3.5-4.4|None|None|73|None|299.0|264.0|1|None|30000.0|IAEA PRIS, SCK-CEN, Wikipedia|1|1500|None|None
CVTR|65.0|UO2|Heavy water|Heavy water|None|None|1.5-2.0|None|None|None|None|None|None|None|None|None|IAEA PRIS, Wikipedia|1|1800|None|None
KNK|58.0|UO2/PuO2|None|Sodium|2|None|None|None|None|None|None|520.0|360.0|2|None|None|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (superheated-cycle class)|1|3000|None|None
OCR|45.0|UO2|Light water|Organic (terphenyl)|None|None|None|None|None|None|None|None|None|None|None|None|IAEA PRIS, Wikipedia; turbine speed nulled 2026-07 sweep (mixed-grid or undocumented)|1|None|None|None
PFBR|1250.0|MOX (UO2/PuO2)|None|Sodium|2|None|None|1.0|None|181|12|547.0|397.0|8|Hexagonal|100000.0|IAEA PRIS, IGCAR, Wikipedia; turbine speed corrected 2026-07 sweep (superheated-cycle class)|1|3000|2|None
PLWBR|240.0|ThO2/UO2 (U-233)|Light water|Light water|4|140.0|None|None|None|None|None|None|None|4|Seed-blanket|None|IAEA PRIS, NRC, Wikipedia; turbine speed nulled 2026-07 sweep (mixed-grid or undocumented)|1|None|None|None
