design_series|field|batch
OPR-1000|core_height_m|specs_04.psv
OPR-1000|core_diameter_m|specs_04.psv
CANDU 500|thermal_power_mwth|specs_06.psv
CANDU 500|fuel_type|specs_06.psv
CANDU 500|moderator|specs_06.psv
CANDU 500|coolant|specs_06.psv
CANDU 500|number_of_coolant_loops|specs_06.psv
CANDU 500|operating_pressure_bar|specs_06.psv
CANDU 500|enrichment_pct|specs_06.psv
CANDU 500|core_diameter_m|specs_06.psv
CANDU 500|number_of_fuel_assemblies|specs_06.psv
CANDU 500|outlet_temperature_c|specs_06.psv
CANDU 500|inlet_temperature_c|specs_06.psv
CANDU 500|number_of_steam_generators|specs_06.psv
CANDU 500|fuel_assembly_type|specs_06.psv
CANDU 500|average_burnup_mwd_per_t|specs_06.psv
CANDU 500|number_of_turbines|specs_06.psv
CANDU 500|turbine_speed_rpm|specs_06.psv
CANDU 500|low_pressure_sections|specs_06.psv
CANDU 500|live_steam_pressure_bar|specs_06.psv
CANDU 750|thermal_power_mwth|specs_06.psv
CANDU 750|fuel_type|specs_06.psv
CANDU 750|moderator|specs_06.psv
CANDU 750|coolant|specs_06.psv
CANDU 750|number_of_coolant_loops|specs_06.psv
CANDU 750|operating_pressure_bar|specs_06.psv
CANDU 750|enrichment_pct|specs_06.psv
CANDU 750|number_of_fuel_assemblies|specs_06.psv
CANDU 750|outlet_temperature_c|specs_06.psv
CANDU 750|inlet_temperature_c|specs_06.psv
CANDU 750|number_of_steam_generators|specs_06.psv
CANDU 750|fuel_assembly_type|specs_06.psv
CANDU 750|average_burnup_mwd_per_t|specs_06.psv
CANDU 750|number_of_turbines|specs_06.psv
CANDU 750|turbine_speed_rpm|specs_06.psv
CANDU 750|low_pressure_sections|specs_06.psv
CANDU 750|live_steam_pressure_bar|specs_06.psv
CANDU 850|thermal_power_mwth|specs_06.psv
CANDU 850|fuel_type|specs_06.psv
CANDU 850|moderator|specs_06.psv
CANDU 850|coolant|specs_06.psv
CANDU 850|number_of_coolant_loops|specs_06.psv
CANDU 850|operating_pressure_bar|specs_06.psv
CANDU 850|enrichment_pct|specs_06.psv
CANDU 850|number_of_fuel_assemblies|specs_06.psv
CANDU 850|outlet_temperature_c|specs_06.psv
CANDU 850|inlet_temperature_c|specs_06.psv
CANDU 850|number_of_steam_generators|specs_06.psv
CANDU 850|fuel_assembly_type|specs_06.psv
CANDU 850|average_burnup_mwd_per_t|specs_06.psv
CANDU 850|number_of_turbines|specs_06.psv
CANDU 850|turbine_speed_rpm|specs_06.psv
CANDU 850|low_pressure_sections|specs_06.psv
CANDU 850|live_steam_pressure_bar|specs_06.psv
BLWR-250|fuel_type|specs_06.psv
BLWR-250|number_of_turbines|specs_06.psv
IPHWR|thermal_power_mwth|specs_06.psv
IPHWR|fuel_type|specs_06.psv
IPHWR|moderator|specs_06.psv
IPHWR|coolant|specs_06.psv
IPHWR|number_of_coolant_loops|specs_06.psv
IPHWR|operating_pressure_bar|specs_06.psv
IPHWR|enrichment_pct|specs_06.psv
IPHWR|core_height_m|specs_06.psv
IPHWR|core_diameter_m|specs_06.psv
IPHWR|number_of_fuel_assemblies|specs_06.psv
IPHWR|number_of_control_elements|specs_06.psv
IPHWR|outlet_temperature_c|specs_06.psv
IPHWR|inlet_temperature_c|specs_06.psv
IPHWR|number_of_steam_generators|specs_06.psv
IPHWR|fuel_assembly_type|specs_06.psv
IPHWR|average_burnup_mwd_per_t|specs_06.psv
IPHWR|number_of_turbines|specs_06.psv
IPHWR|turbine_speed_rpm|specs_06.psv
IPHWR|low_pressure_sections|specs_06.psv
IPHWR|live_steam_pressure_bar|specs_06.psv
KWU PHWR|thermal_power_mwth|specs_06.psv
KWU PHWR|fuel_type|specs_06.psv
KWU PHWR|moderator|specs_06.psv
KWU PHWR|coolant|specs_06.psv
KWU PHWR|number_of_coolant_loops|specs_06.psv
KWU PHWR|operating_pressure_bar|specs_06.psv
KWU PHWR|enrichment_pct|specs_06.psv
KWU PHWR|core_height_m|specs_06.psv
KWU PHWR|number_of_fuel_assemblies|specs_06.psv
KWU PHWR|outlet_temperature_c|specs_06.psv
KWU PHWR|inlet_temperature_c|specs_06.psv
KWU PHWR|number_of_steam_generators|specs_06.psv
KWU PHWR|fuel_assembly_type|specs_06.psv
KWU PHWR|average_burnup_mwd_per_t|specs_06.psv
KWU PHWR|number_of_turbines|specs_06.psv
KWU PHWR|turbine_speed_rpm|specs_06.psv
KWU PHWR|low_pressure_sections|specs_06.psv
KWU PHWR|live_steam_pressure_bar|specs_06.psv
PHWR|fuel_type|specs_06.psv
PHWR|moderator|specs_06.psv
PHWR|coolant|specs_06.psv
PHWR|operating_pressure_bar|specs_06.psv
PHWR|enrichment_pct|specs_06.psv
PHWR|average_burnup_mwd_per_t|specs_06.psv
PHWR|number_of_turbines|specs_06.psv
PHWR|turbine_speed_rpm|specs_06.psv
PHWR|low_pressure_sections|specs_06.psv
PHWR|live_steam_pressure_bar|specs_06.psv
Magnox|core_height_m|specs_07.psv
Magnox|core_diameter_m|specs_07.psv
Magnox|number_of_control_elements|specs_07.psv
Magnox|turbine_speed_rpm|specs_07.psv
Magnox|low_pressure_sections|specs_07.psv
UNGG|low_pressure_sections|specs_07.psv
AM-1|thermal_power_mwth|specs_07.psv
AM-1|fuel_type|specs_07.psv
AM-1|moderator|specs_07.psv
AM-1|coolant|specs_07.psv
AM-1|operating_pressure_bar|specs_07.psv
AM-1|enrichment_pct|specs_07.psv
AM-1|core_height_m|specs_07.psv
AM-1|core_diameter_m|specs_07.psv
AM-1|number_of_fuel_assemblies|specs_07.psv
