design_series|field|verdict|corrected_value|confidence|source
CP2|thermal_power_mwth|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (2785 MWth)
CP2|fuel_type|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (pastilles cylindriques d'UO2)
CP2|moderator|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (PWR design)
CP2|coolant|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (PWR design)
CP2|number_of_coolant_loops|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (3 boucles)
CP2|operating_pressure_bar|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (15,5 MPa)
CP2|enrichment_pct|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (UO2 faiblement enrichi 3-5%, DB range within this)
CP2|core_height_m|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (hauteur active 3 660 mm)
CP2|core_diameter_m|UNVERIFIABLE||LOW|searched fr.wikipedia Palier CP0/CPY, value not stated
CP2|number_of_fuel_assemblies|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (157 assemblages)
CP2|number_of_control_elements|WRONG|57|MED|fr.wikipedia.org Palier CP0/CPY (57 grappes de commande, not 48)
CP2|outlet_temperature_c|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (323,2 C)
CP2|inlet_temperature_c|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (286 C)
CP2|number_of_steam_generators|CONFIRMED||MED|fr.wikipedia.org Palier CP0/CPY (3 GV)
CP2|fuel_assembly_type|CONFIRMED||MED|WebSearch CPR-1000/M310 lineage (17x17 AFA 3G, same French 900MW/157-assembly class)
CP2|average_burnup_mwd_per_t|UNVERIFIABLE||LOW|searched fr.wikipedia Palier CP0/CPY, value not stated
CP2|number_of_turbines|UNVERIFIABLE||LOW|searched fr.wikipedia Palier CP0/CPY, value not stated
CP2|turbine_speed_rpm|UNVERIFIABLE||LOW|searched fr.wikipedia Palier CP0/CPY, rpm not stated
CP2|low_pressure_sections|WRONG|2|MED|fr.wikipedia.org Palier CP0/CPY (CP1 has 3 LP bodies, CP2 has 2)
CP2|live_steam_pressure_bar|UNVERIFIABLE||LOW|searched fr.wikipedia Palier CP0/CPY, value not stated
EPR|thermal_power_mwth|CONFIRMED||MED|WebSearch of NRC U.S. EPR FSAR Tier 2 Ch.4 references (4590 MWt)
EPR|fuel_type|CONFIRMED||MED|WebSearch NRC EPR FSAR references (UO2 pellets, zirconium clad)
EPR|moderator|CONFIRMED||MED|WebSearch NRC EPR FSAR references (PWR, light water)
EPR|coolant|CONFIRMED||MED|WebSearch NRC EPR FSAR references (PWR, light water)
EPR|number_of_coolant_loops|CONFIRMED||MED|WebSearch NRC EPR FSAR references (4-loop design)
EPR|operating_pressure_bar|UNVERIFIABLE||LOW|searched, only generic PWR pressure figure found, not EPR-specific
EPR|enrichment_pct|CONFIRMED||MED|WebSearch NRC EPR FSAR references (average enrichment ~4.95%)
EPR|core_height_m|CONFIRMED||MED|WebSearch NRC EPR FSAR references (active core height 420 cm)
EPR|core_diameter_m|UNVERIFIABLE||LOW|searched, precise core diameter not found in retrieved sources
EPR|number_of_fuel_assemblies|CONFIRMED||MED|WebSearch NRC EPR FSAR references (241 fuel assemblies)
EPR|number_of_control_elements|CONFIRMED||MED|WebSearch NRC EPR FSAR references (RCCAs in 89 of 241 assemblies)
EPR|outlet_temperature_c|UNVERIFIABLE||LOW|searched, only generic PWR outlet temp (325C) found, not EPR-specific
EPR|inlet_temperature_c|UNVERIFIABLE||LOW|searched, only generic PWR inlet temp (290C) found, not EPR-specific
EPR|number_of_steam_generators|CONFIRMED||MED|WebSearch NRC EPR FSAR references (4-loop, 4 steam generators)
EPR|fuel_assembly_type|CONFIRMED||MED|WebSearch NRC EPR FSAR references (17x17 array, 265 fuel rods)
EPR|average_burnup_mwd_per_t|UNVERIFIABLE||LOW|searched, value not found in retrieved sources
EPR|number_of_turbines|UNVERIFIABLE||LOW|searched, value not found in retrieved sources
EPR|turbine_speed_rpm|UNVERIFIABLE||LOW|WebSearch Modern Power Systems Arabelle article; rpm for EPR class stated ambiguously, not confirmable
EPR|low_pressure_sections|CONFIRMED||MED|WebSearch Modern Power Systems / INIS Arabelle EPR turbine (three double-flow LP cylinders)
